Brands,Model,Price,money_off,discount,Internal Storage,Solid State Storage,Display,Shop,Shop Type,Video Memory,JingDong,href,used,Display_type,Processor,Version,Touch control,Screen size,Sale,Favorable rate
华硕,ASUS,3599,,,8G,512G, ,华硕京东自营官方旗舰店,1, ,0,//item.jd.com/100012039000.html,0,0,R7,六代,0,15.6,3500,87
惠普,战66,3999,,,8G,512G, ,惠普京东自营官方旗舰店,1,8G,0,//item.jd.com/100013312594.html,0,0,R5,三代,0,15.6,400,99
惠普,星14青春版,1999,2000,300,8G,256G, ,惠普赞晓专卖店,0, ,0,//item.jd.com/26877580262.html,0,0,, ,0,14,4000,99
联想,小新Pro13,5699,,,16G,512G,MX350,联想京东自营旗舰店,1, ,0,//item.jd.com/100012082340.html,0,1,i5,十代,0,,6300,95
联想,小新Pro13,6699,,,16G,512G,MX350,联想京东自营旗舰店,1, ,0,//item.jd.com/100011773072.html,0,1,i7, ,0,,5700,90
荣耀,MagicBookPro,5599,,,16G,512G,MX350,荣耀京东自营旗舰店,1, ,0,//item.jd.com/100013171828.html,0,0,i5,十代,0,16.1,2000,94
联想,小新Air14,3199,3499,300,8G,256G, ,联想率秀图新授权专卖店,0, ,0,//item.jd.com/57773460022.html,0,0,R5, ,0,,6000,95
荣耀,MagicBookPro,6299,,,16G,512G,MX350,荣耀京东自营旗舰店,1, ,0,//item.jd.com/100007187885.html,0,0,i7,十代,0,16.1,1200,96
戴尔,灵越5000,6399,,,8G,512G,MX250,戴尔京东自营官方旗舰店,1,2G,1,//item.jd.com/100004365311.html,0,1,i7,十代,0,14,7000,92
荣耀,MagicBookPro,5199,,,16G,512G,MX250,荣耀京东自营旗舰店,1, ,0,//item.jd.com/100007818806.html,0,0,i5, ,0,16.1,10000,93
联想,T495,4999,,,8G,512G, ,ThinkPad京东自营旗舰店,1, ,1,//item.jd.com/100005729171.html,0,0,R5, ,0,14,6700,96
联想,小新Air14,3499,,,8G,256G, ,联想华北授权专卖店,0, ,0,//item.jd.com/47878949721.html,0,0,R5, ,0,,10000,94
RedmiBook,RedmiBook16,3799,,,16G,512G, ,小米京东自营旗舰店,1, ,0,//item.jd.com/100013171136.html,0,0,R5, ,0,,800,91
联想,E490,3999,,,8G,1152G, ,ThinkPad京东自营旗舰店,1,2G,1,//item.jd.com/100001762851.html,0,1,i5, ,0,14,5100,94
华为,MateBook13,5988,,,16G,512G,MX250,华为京东自营官方旗舰店,1, ,0,//item.jd.com/100006189291.html,0,0,i5,十代,1,13,2700,96
华硕,ASUS,5899,,,8G,512G,GTX1650,华硕京东自营官方旗舰店,1,4G,0,//item.jd.com/100006460637.html,0,0,R7, ,0,15.6,2200,97
华为,MateBookD,3999,,,8G,512G, ,华为京东自营官方旗舰店,1, ,0,//item.jd.com/100006013745.html,0,0,R5, ,0,14,1200,93
联想,E480,2899,,,8G,256G, ,ThinkPad华东授权专卖店,0,2G,0,//item.jd.com/25168769082.html,0,1,i3, ,0,14,2500,94
联想,E490,3299,,,8G,256G, ,ThinkPad京东自营旗舰店,1, ,0,//item.jd.com/100012675410.html,0,0,i3, ,0,14,700,96
联想,E495,3799,,,8G,512G, ,ThinkPad京东自营旗舰店,1, ,1,//item.jd.com/100011213626.html,0,0,R5, ,0,14,7300,94
联想,E480,5299,,,8G,1152G, ,ThinkPad京东自营旗舰店,1,2G,1,//item.jd.com/6076609.html,0,1,i7, ,0,14,30000,97
联想,ThinkBook15,6399,,,16G,512G, ,ThinkPad京东自营旗舰店,1, ,1,//item.jd.com/100005772313.html,0,0,i7,十代,0,15.6,2200,91
华为,MateBook14,7388,,,16G,512G,MX350,华为京东自营官方旗舰店,1, ,0,//item.jd.com/100007078171.html,0,0,i7,十代,1,,1700,91
RedmiBook,RedmiBook,4399,,,8G,512G,MX250,小米京东自营旗舰店,1,2G,0,//item.jd.com/100010429536.html,0,1,i5,十代,0,13,9700,91
联想,E495,3289,,,8G,256G, ,ThinkPad京东自营旗舰店,1, ,1,//item.jd.com/100011513428.html,0,0,R5, ,0,14,2300,94
联想,T420,1269,,,1G,256G, ,吉祥星二手商品专营店,0,8G,0,//item.jd.com/35609855267.html,1,1,i5, ,0,14,1900,97
华硕,灵锐14,4699,,,16G,512G, ,华硕宏思专卖店,0, ,0,//item.jd.com/69288710220.html,0,0,R7, ,0,14,50,100
华硕,ASUS,5199,,,8G,512G,MX330,华硕京东自营官方旗舰店,1,2G,0,//item.jd.com/100012443350.html,0,1,i7,六代,0,15.6,1000,91
华硕,VivoBook14,4289,,,8G,512G, ,华硕电脑京东自营官方旗舰店,1, ,0,//item.jd.com/69199960590.html,0,1,i5,十代,0,14,500,99
华为,MateBookD,5399,,,16G,512G, ,华为京东自营官方旗舰店,1, ,0,//item.jd.com/100006567337.html,0,1,i5,十代,0,,3200,94
华硕,灵耀14,6499,,,16G,512G, ,华硕京东自营官方旗舰店,1, ,0,//item.jd.com/100013294774.html,0,0,i7,十代,0,14,600,98
华为,MateBook13,4699,,,16G,512G, ,华为京东自营官方旗舰店,1, ,0,//item.jd.com/100006567327.html,0,2,R5, ,0,,3700,92
联想,扬天V330,2689,2000,200,8G,256G, ,联想扬天京东自营授权旗舰店,1, ,0,//item.jd.com/53216751692.html,0,0,R5, ,0,14,2000,95
华硕,R424,2999,,,4G,256G, ,华硕京东自营官方旗舰店,1, ,0,//item.jd.com/100007507848.html,0,0,i3, ,0,14,6400,90
联想,X390,5599,2000,100,8G,256G, ,ThinkPad京东自营旗舰店,1, ,1,//item.jd.com/100004311524.html,0,0,i5, ,0,13.3,10000,94
宏碁,墨舞EX215,3889,,,8G,512G, ,宏碁商用京东自营旗舰店,1, ,0,//item.jd.com/100004770245.html,0,1,i5,十代,0,15.6,5500,96
ROG,ROG幻14,8999,,,8G,512G,GTX1660,ROG京东自营官方旗舰店,1, ,0,//item.jd.com/100012955124.html,0,0,R7, ,0,14,300,100
机械革命,S2,4969,,,16G,512G,MX350,机械革命京东自营官方旗舰店,1, ,0,//item.jd.com/100012558282.html,0,0,i7,十代,0,14,400,90
戴尔,戴尔灵越14,3499,,,8G,512G, ,戴尔京东自营官方旗舰店,1, ,0,//item.jd.com/100011677348.html,0,0,R5, ,0,14,2300,86
华为,MateBook14,5888,,,8G,512G,MX250,华为京东自营官方旗舰店,1,8G,0,//item.jd.com/100011177234.html,0,0,i5,十代,0,,7700,95
华硕,ASUS,5799,,,8G,512G,GTX1650,华硕京东自营官方旗舰店,1,4G,1,//item.jd.com/100006460639.html,0,0,R7, ,0,15.6,8200,94
宏碁,暗影骑士·擎,6099,,,16G,512G,GTX1650,宏碁京东自营旗舰店,1,4G,1,//item.jd.com/100006743209.html,0,1,, ,0,15.6,5600,97
LG,gram20,9999,,,16G,1024G, ,LG笔记本电脑京东自营旗舰店,1, ,0,//item.jd.com/100006365927.html,0,0,i7,十代,0,17,200,95
华为,MateBookX,7988,,,16G,512G, ,华为京东自营官方旗舰店,1, ,0,//item.jd.com/100012038800.html,0,2,i5,十代,1,13.9,1700,95
Apple,MacBookPro,9699,,,8G,256G, ,Apple产品京东自营旗舰店,1,4G,0,//item.jd.com/100007136953.html,0,0,i5,八代,1,,3700,94
小米,,2999,2000,100,4G,128G, ,小米京东自营旗舰店,1, ,0,//item.jd.com/100004363846.html,0,0,, ,0,12.5,10000,94
惠普,星14-ce3081TX,5499,,,16G,512G,MX330,惠普京东自营官方旗舰店,1,2G,0,//item.jd.com/100012522500.html,0,0,i5,十代,0,14,1000,87
联想,小新Air14,2849,2000,200,8G,256G, ,联想航电授权专卖店,0, ,0,//item.jd.com/18725682558.html,0,0,R5, ,0,,3700,98
华为,MateBookD,4299,,,16G,, ,华为新通路专卖店,0, ,0,//item.jd.com/65123978318.html,0,0,R5, ,0,,1600,97
华硕,灵锐14,4699,,,16G,512G, ,华硕京东自营官方旗舰店,1, ,0,//item.jd.com/100013209352.html,0,0,R7, ,0,14,700,96
Apple,MacBookAir,7799,,,8G,256G, ,Apple产品京东自营旗舰店,1, ,0,//item.jd.com/100006589419.html,0,0,i3,十代,0,,1900,94
Apple,MacBookPro,13999,,,16G,512G, ,Apple产品京东自营旗舰店,1,0G,0,//item.jd.com/100013068434.html,0,0,i5,十代,1,,3700,94
联想,小新Pro13,6699,,,16G,512G,MX350,联想京东自营旗舰店,1, ,0,//item.jd.com/100012062390.html,0,1,i7,十代,0,,2600,90
RedmiBook,RedmiBook14,4999,,,16G,512G,MX250,小米京东自营旗舰店,1,2G,0,//item.jd.com/100012751534.html,0,1,i7,十代,0,,1000,88
惠普,战66,4499,,,8G,512G, ,惠普京东自营官方旗舰店,1, ,1,//item.jd.com/100003269299.html,0,0,R5, ,0,14,20000,93
惠普,光影精灵5plus,4999,5000,100,8G,512G,GTX1650,惠普授权旗舰店,0,4G,0,//item.jd.com/49985658062.html,0,0,R7, ,0,,3400,96
联想,ThinkBook14,5999,,,8G,512G, ,ThinkPad京东自营旗舰店,1,0G,1,//item.jd.com/100009596116.html,0,1,i7,十代,0,14,4000,95
海尔,博越M53,2199,,,4G,256G, ,海尔电脑京东自营旗舰店,1, ,0,//item.jd.com/100000503382.html,0,0,, ,0,15.6,700,97
小米,2020款,5299,,,8G,512G,MX250,小米京东自营旗舰店,1,2G,0,//item.jd.com/100010981954.html,0,1,i5,十代,0,15.6,4400,91
华为,MagicBook14,3399,,,8G,256G, ,集洋数码专营店,0, ,0,//item.jd.com/61302916389.html,0,0,R5, ,0,,2000,96
华为,MateBookX,9988,,,16G,512G, ,华为京东自营官方旗舰店,1, ,0,//item.jd.com/100012038778.html,0,1,i7,十代,1,13.9,1600,97
机械革命,MECHREVO,7499,,,16G,512G, ,机械革命京东自营官方旗舰店,1, ,0,//item.jd.com/100013206314.html,0,0,R7, ,0,17.3,2100,97
戴尔,灵越5000,5599,,,8G,512G,MX230,戴尔京东自营官方旗舰店,1,2G,0,//item.jd.com/100006546573.html,0,1,i7,十代,0,14,1600,86
RedmiBook,RedmiBook14,4699,,,8G,512G,MX250,小米京东自营旗舰店,1,2G,0,//item.jd.com/100004508929.html,0,1,i7,十代,0,,30000,91
惠普,战66,3999,,,8G,512G, ,惠普京东自营官方旗舰店,1, ,1,//item.jd.com/100003949311.html,0,0,R5, ,0,15.6,10000,93
戴尔,戴尔灵越15,3999,,,8G,512G, ,戴尔京东自营官方旗舰店,1, ,0,//item.jd.com/100011677346.html,0,0,R5, ,0,15.6,2900,87
RedmiBook,RedmiBook14,3709,,,16G,512G, ,小米京东自营旗舰店,1, ,0,//item.jd.com/100013155822.html,0,0,R5, ,0,,300,90
联想,E14,5899,,,16G,512G, ,ThinkPad京东自营旗舰店,1,2G,0,//item.jd.com/100013263268.html,0,1,i5, ,0,14,300,95
联想,X1,10999,,,8G,512G, ,ThinkPad京东自营旗舰店,1, ,0,//item.jd.com/100005653633.html,0,0,i5,十代,0,14,2300,92
华硕,ASUS,3599,,,8G,512G, ,华硕京东自营官方旗舰店,1, ,0,//item.jd.com/100006619423.html,0,0,R7,六代,0,15.6,1400,89
荣耀,MagicBook14,3599,,,8G,512G, ,荣耀京东自营旗舰店,1, ,0,//item.jd.com/100010079780.html,0,0,R5, ,0,14,10000,94
