Brands,Model,Price,money_off,discount,Internal Storage,Solid State Storage,Display,Shop,Shop Type,Video Memory,JingDong,href,used,Display_type,Processor,Version,Touch control,Screen size,Sale,Favorable rate
戴尔,游戏本灵越游匣G5,6299,,,8G,512G,GTX1650,戴尔金盛专卖店,0, ,0,//item.jd.com/11288349582.html,0,0,i5,十代,0,15.6,100,93
华为,MateBook14,6388,,,16G,512G,MX350,科族数码专营店,0, ,0,//item.jd.com/67657607490.html,0,0,i5,十代,1,,700,95
VAIO,SX14,18188,,,16G,1024G, ,VAIO京东自营旗舰店,1, ,0,//item.jd.com/100010816690.html,0,0,i7, ,0,14,20,100
VAIO,SX12,10188,,,8G,512G, ,VAIO京东自营旗舰店,1, ,1,//item.jd.com/100006008773.html,0,0,i5, ,0,12.5,20,88
惠普,战99-21,7499,,,8G,256G, ,,0,4G,1,//item.jd.com/100007413704.html,0,1,i7, ,0,15.6,3000,92
AVITA,P01,3099,,,4G,128G, ,AVITA电脑旗舰店,0, ,0,//item.jd.com/63966803283.html,0,0,i3, ,0,14,0,100
微软,十代酷睿i5,8688,,,8G,256G, ,微软京东自营官方旗舰店,1, ,0,//item.jd.com/100009972420.html,0,0,i5,十代,1,13.5,1500,94
惠普,i5-10210U,6099,2000,100,8G,512G,MX350,惠普京东自营官方旗舰店,1,2G,0,//item.jd.com/100013068430.html,0,0,i5, ,0,13.3,4600,91
联想,扬天V110,2699,2000,100,4G,256G, ,联想扬天京东自营授权旗舰店,1, ,0,//item.jd.com/44075986106.html,0,0,, ,0,15.6,3300,89
戴尔,灵越13,5399,2000,100,8G,512G, ,戴尔京东自营官方旗舰店,1, ,0,//item.jd.com/100004347937.html,0,0,i5,十代,0,13.3,2800,94
小米,2020款,5699,,,8G,1024G,MX250,小米京东自营旗舰店,1,2G,0,//item.jd.com/100011001302.html,0,1,i5,十代,0,15.6,200,90
戴尔,灵越7000,7099,,,8G,512G,GTX1650,戴尔京东自营官方旗舰店,1,4G,0,//item.jd.com/100013174332.html,0,1,i5,十代,0,15.6,80,94
华硕,顽石6,3099,3000,200,4G,256G, ,华硕汉腾专卖店,0,4G,0,//item.jd.com/12995867360.html,0,1,i5, ,0,15.6,300,97
华为,MagicBook201,3279,1000,30,8G,256G, ,荣耀华晶威业专卖店,0, ,0,//item.jd.com/60404539126.html,0,0,R5,八代,0,14,2100,98
戴尔,XPS13-7390,14999,,,16G,512G, ,戴尔京东自营官方旗舰店,1, ,0,//item.jd.com/100009645476.html,0,0,i7,十代,1,13.4,200,94
惠普,ZBook15,39599,,,,, ,惠普工作站京东自营旗舰店,1,6G,0,//item.jd.com/100009600258.html,0,1,, ,0,15.6,3,100
惠普,星14-ce3088TX,6299,,,16G,512G,MX330,惠普京东自营官方旗舰店,1,2G,0,//item.jd.com/100012522512.html,0,0,i7, ,0,14,40,100
惠普,星14青春版,2099,2000,300,8G,256G, ,惠普老熟人专卖店,0, ,0,//item.jd.com/37055654187.html,0,0,, ,0,14,100,86
华为,MateBookX,7988,,,16G,512G, ,华为千百回专卖店,0, ,0,//item.jd.com/28299926952.html,0,2,i5,十代,1,13.9,500,99
宏碁,新蜂鸟3,5499,,,16G,512G, ,宏碁京东自营旗舰店,1, ,1,//item.jd.com/100011384574.html,0,0,i5, ,0,,2300,92
惠普,星14,5088,,,8G,512G, ,惠普授权旗舰店,0, ,0,//item.jd.com/27914580586.html,0,0,i5,十代,0,13.3,3500,96
联想,拯救者Y7000P,8099,,,16G,512G,GTX1660,联想京东自营旗舰店,1, ,0,//item.jd.com/100007267199.html,0,0,i7, ,0,15.6,900,97
神舟,神舟战神Z7/Z7M十代i5/i7GTX1650/1660Ti独显IPS,4599,4900,600,8G,,GTX1650,神舟游戏本专卖店,0, ,0,//item.jd.com/32114127140.html,0,1,i5,十代,0,,4900,96
联想,X1,9999,,,8G,512G, ,ThinkPad京东自营旗舰店,1, ,1,//item.jd.com/100003898883.html,0,0,i5, ,0,14,4400,94
惠普,战66,4899,,,8G,256G,MX250,惠普京东自营官方旗舰店,1,2G,1,//item.jd.com/100009238688.html,0,0,i5,三代,0,14,2300,94
华为,MateBook14,6388,,,16G,512G,MX350,科族数码专营店,0, ,0,//item.jd.com/67657607490.html,0,0,i5,十代,1,,200,96
华为,MateBook13,4699,,,16G,512G, ,华为新通路专卖店,0, ,0,//item.jd.com/65384259013.html,0,0,R5, ,0,13,300,98
惠普,i5-10210U,6099,2000,100,8G,512G,MX350,惠普京东自营官方旗舰店,1,2G,0,//item.jd.com/100013068430.html,0,0,i5, ,0,13.3,100,100
联想,扬天V110,2699,2000,100,4G,256G, ,联想扬天京东自营授权旗舰店,1, ,0,//item.jd.com/44075986106.html,0,0,, ,0,15.6,200,87
华为,MagicBook201,3279,1000,30,8G,256G, ,荣耀华晶威业专卖店,0, ,0,//item.jd.com/60404539126.html,0,0,R5,八代,0,14,10,100
宏碁,新蜂鸟3,5499,,,16G,512G, ,宏碁京东自营旗舰店,1, ,1,//item.jd.com/100011384574.html,0,0,i5, ,0,,1000,94
惠普,战66,4899,,,8G,256G,MX250,惠普京东自营官方旗舰店,1,2G,1,//item.jd.com/100009238688.html,0,0,i5,三代,0,14,60000,94
壹号,ONEMIX,8099,,,16G,512G, ,壹号本旗舰店,0, ,0,//item.jd.com/48125745396.html,0,0,i7,十代,0,8.4,1000,99
新品,酷睿i5-5257U,2199,2000,100,8G,256G, ,iru旗舰店,0, ,0,//item.jd.com/39953852223.html,0,0,i7, ,0,15.6,100,100
宏碁,暗影骑士·擎,4899,3000,300,4G,, ,Acer宏碁旗舰店,0, ,0,//item.jd.com/65500178036.html,0,0,i5,十代,0,15.6,200,100
联想,T490,10888,,,16G,1024G, ,ThinkPad东南授权专卖店,0, ,0,//item.jd.com/64601238858.html,0,0,,八代,0,14,20,100
华为,MagicBook14,3599,,,8G,256G, ,荣耀策山专卖店,0, ,0,//item.jd.com/61233151900.html,0,2,R5, ,0,,500,96
LG,gram20,6999,,,8G,256G, ,LG笔记本电脑京东自营旗舰店,1,8G,0,//item.jd.com/100006359875.html,0,0,R5,十代,0,15.6,50,100
华硕,ASUS,5799,,,8G,512G,GTX1650,华硕京东自营官方旗舰店,1,4G,0,//item.jd.com/100006460639.html,0,0,R7, ,0,15.6,8300,94
新品,MateBook13,5988,,,16G,512G, ,华为兰焜专卖店,0, ,0,//item.jd.com/39874544901.html,0,0,i5, ,1,13,100,97
Apple,macbookpro,9168,,,8G,256G, ,集合数码专营店,0, ,0,//item.jd.com/33793204884.html,0,0,, ,0,13.3,20,100
华为,MateBookD,6388,,,16G,512G, ,华为京东自营官方旗舰店,1, ,0,//item.jd.com/100010903936.html,0,1,i7, ,0,,500,93
联想,E595,3999,,,8G,512G, ,ThinkPad京东自营旗舰店,1, ,0,//item.jd.com/100003612725.html,0,0,R5, ,0,15.6,1200,93
戴尔,E6230,950,500,50,8G,, ,锶湘二手笔记本专营店,0, ,0,//item.jd.com/55594095057.html,1,0,i5,三代,0,12,1300,95
华硕,VivoBook,3099,3000,300,8G,512G,MX330,华硕智凝专卖店,0,2G,0,//item.jd.com/58754086142.html,0,1,i5,十代,0,,500,97
华硕,飞行堡垒7,5079,20,5,4G,512G,GTX1650,华硕汉腾专卖店,0,8G,0,//item.jd.com/33151285285.html,0,0,R7, ,0,15.6,300,96
联想,「刘海屏2020,4899,,,8G,512G,MX350,联想电脑授权专卖店,0,2G,0,//item.jd.com/25617718903.html,0,1,i5, ,0,14,500,93
戴尔,燃5000灵越5493/5593,2999,999,100,8G,1152G, ,戴尔宇熙世纪专卖店,0, ,0,//item.jd.com/55643660253.html,0,0,i3,十代,0,15.6,300,97
华硕,VivoBook14,5699,,,8G,32G, ,华硕电脑京东自营官方旗舰店,1, ,0,//item.jd.com/68204566249.html,0,1,i5, ,0,14,30,100
联想,拯救者Y7000,6199,2980,300,16G,1024G,GTX1650,联想华东授权专卖店,0,4G,0,//item.jd.com/46140264301.html,0,1,i7,十代,0,,400,96
华为,magicbook201,3579,1000,30,8G,512G, ,建极笔记本专营店,0, ,0,//item.jd.com/66465662611.html,0,0,i3, ,0,,10,100
联想,E480,7299,,,,32G, ,ThinkPad华中授权专卖店,0,2G,0,//item.jd.com/54377932856.html,0,1,i7, ,0,14,10,100
神舟,神舟战神ZX6-CT5A2/DA,4088,,,8G,512G,GTX1050,神舟大本航专卖店,0, ,0,//item.jd.com/28917125598.html,0,1,i5,九代,0,,100,99
荣耀,MagicBook201,5699,,,8G,512G,MX250,荣耀京东自营旗舰店,1, ,0,//item.jd.com/100007729110.html,0,0,i7, ,0,14,3600,97
华为,MateBookX,12988,,,16G,1024G, ,华为千百回专卖店,0, ,0,//item.jd.com/27116355741.html,0,1,i7,十代,1,13.9,800,99
华为,MagicBook14,4199,,,8G,256G, ,荣耀策山专卖店,0, ,0,//item.jd.com/31341776801.html,0,2,R5, ,0,,1000,97
联想,人气推荐：累计销量2,1168,,,8G,, ,悦企二手商品专营店,0, ,0,//item.jd.com/22298647725.html,1,0,i5, ,0,12.5,3700,97
戴尔,灵越5000fit,5999,,,8G,512G,MX250,戴尔京东自营官方旗舰店,1, ,1,//item.jd.com/100005546829.html,0,1,i5,十代,0,15.6,1100,89
惠普,惠普HP星15青春版,4399,,,8G,512G,MX330,惠普中国京东自营官方旗舰店,1,2G,0,//item.jd.com/68981252360.html,0,1,i5,十代,0,15.6,100,83
华硕,Y4200/FL8700Pro,2599,2000,200,8G,256G, ,茂双笔记本旗舰店,0,8G,0,//item.jd.com/48481941275.html,0,0,R3, ,0,15,1500,96
联想,扬天S550,3049,2020,150,8G,512G, ,联想睿坤专卖店,0,8G,0,//item.jd.com/66060387683.html,0,0,R5, ,0,14,100,100
LG,gram20,7999,,,8G,512G, ,LG笔记本电脑京东自营旗舰店,1,8G,0,//item.jd.com/100006359877.html,0,0,R5,十代,0,15.6,60,92
联想,威6,5499,,,8G,512G, ,联想扬天京东自营旗舰店,1, ,0,//item.jd.com/100005188045.html,0,0,i7,十代,0,14,4200,95
华硕,破晓7,4579,2000,5,16G,1024G, ,华硕电脑官方旗舰店,0, ,1,//item.jd.com/69804070678.html,0,1,i7, ,0,15.6,200,100
华为,MateBook14,6388,,,16G,512G, ,华为肆玖专卖店,0, ,0,//item.jd.com/65477532050.html,0,1,i5, ,1,14,200,99
联想,T510,888,,,4G,, ,固英二手笔记本专营店,0, ,0,//item.jd.com/40779876137.html,1,0,i5, ,0,15,400,91
华硕,adolbook14,4879,2000,5,8G,256G, ,华硕电脑官方旗舰店,0, ,0,//item.jd.com/57099043929.html,0,0,i5,十代,0,14,700,93
联想,小新Air14,3699,3800,500,8G,512G, ,联想亿维授权专卖店,0, ,0,//item.jd.com/60033284210.html,0,1,i5, ,0,14,600,96
华为,MateBookD,4299,,,16G,256G, ,华为航智专卖店,0, ,0,//item.jd.com/63725554711.html,0,0,R5, ,0,,100,98
联想,扬天S540,3599,3000,300,8G,256G, ,联想扬天京东自营授权旗舰店,1,2G,1,//item.jd.com/51559132221.html,0,1,i5,八代,0,14,200,93
华为,MateBookX,9988,,,16G,512G, ,华为千百回专卖店,0, ,0,//item.jd.com/47116504312.html,0,1,i7,十代,1,13.9,100,100
联想,锐E590,4599,1000,100,8G,1152G, ,ThinkPad华南授权专卖店,0, ,0,//item.jd.com/14153405957.html,0,1,i5, ,0,15.6,600,98
华硕,六代FL8700F,3599,,,4G,256G, ,华硕京东自营官方旗舰店,1, ,0,//item.jd.com/100008645044.html,0,1,i5,六代,0,15.6,4200,90
RedmiBook,RedmiBook16,3589,,,8G,512G, ,小米京东自营旗舰店,1, ,0,//item.jd.com/100013171152.html,0,0,R5, ,0,,100,93
联想,T490,10499,,,8G,512G, ,ThinkPad京东自营旗舰店,1,2G,0,//item.jd.com/100002772399.html,0,1,i5, ,0,14,400,88
联想,扬天V110,2499,2000,100,4G,128G, ,联想扬天京东自营授权旗舰店,1, ,0,//item.jd.com/44075986104.html,0,0,, ,0,15.6,300,89
联想,拯救者Y7000,6499,,,16G,,GTX1650,联想京东自营官方旗舰店,1, ,0,//item.jd.com/45913080273.html,0,0,R7,十代,0,15.6,10000,95
华硕,VivoBook15,4279,2000,5,8G,512G,MX330,华硕金硕专卖店,0,2G,0,//item.jd.com/62473284789.html,0,0,i5, ,0,15.6,600,99
惠普,战66,5299,,,8G,256G,MX250,惠普京东自营官方旗舰店,1,2G,1,//item.jd.com/100009238220.html,0,0,i5,三代,0,15.6,2600,94
华硕,飞行堡垒7,6479,2000,5,8G,512G, ,华硕电脑官方旗舰店,0, ,0,//item.jd.com/45597532288.html,0,0,i7,九代,0,15.6,10000,97
戴尔,全新XPS13-9300,16999,,,16G,1024G, ,戴尔京东自营官方旗舰店,1, ,0,//item.jd.com/100011316494.html,0,0,i7,十代,0,13.4,50,100
华为,MateBookD,5399,,,16G,512G, ,华为桑核专卖店,0, ,0,//item.jd.com/66652381198.html,0,1,i5,十代,0,15,80,100
惠普,,1898,2000,300,8G,128G, ,惠普宇熙世纪专卖店,0, ,0,//item.jd.com/61111756216.html,0,0,, ,0,14,70,90
惠普,,1798,2000,300,8G,256G, ,惠普宇熙世纪专卖店,0, ,0,//item.jd.com/61111756217.html,0,0,, ,0,14,100,95
微软,Pro7,6518,,,8G,128G, ,鑫晨星平板专营店,0, ,0,//item.jd.com/58207088793.html,0,0,i5, ,1,12.3,1000,98
华为,MateBook13,4699,,,16G,512G, ,华为千百回专卖店,0, ,0,//item.jd.com/39991954037.html,0,2,R5, ,0,13,300,99
联想,E15,6749,,,16G,256G, ,ThinkPad东南授权专卖店,0, ,0,//item.jd.com/28540718576.html,0,0,i7, ,0,15.6,600,98
联想,X395,4299,,,8G,512G, ,ThinkPad京东自营旗舰店,1, ,0,//item.jd.com/100006392085.html,0,0,R5, ,0,13.3,600,91
联想,T490,10499,,,8G,512G, ,ThinkPad京东自营旗舰店,1,2G,0,//item.jd.com/100002772399.html,0,1,i5, ,0,14,300,88
宏碁,都是十代酷睿i7,3799,3000,300,8G,55G, ,Acer宏碁旗舰店,0,2G,0,//item.jd.com/38011702650.html,0,1,i7,十代,0,15.6,2000,95
宏碁,宏碁acer宏基A315,3499,3000,300,8G,128G, ,宏碁蓝星专卖店,0,8G,0,//item.jd.com/61146786909.html,0,0,,十代,0,15.6,10,100
联想昭阳,昭阳E41-25,1899,,,4G,, ,联想华米商用专卖店,0, ,0,//item.jd.com/65457787309.html,0,0,, ,0,14,60,100
华为,MagicBook14,3795,,,16G,512G, ,荣耀策山专卖店,0, ,0,//item.jd.com/57567412808.html,0,2,R5, ,0,,1500,98
微星,新世代Modern15,6499,,,8G,512G,MX250,微星游戏本京东自营官方旗舰店,1,8G,0,//item.jd.com/100010816642.html,0,0,i7,十代,0,15.6,90,96
微软,Surface,19658,,,,32G, ,微软京东自营官方旗舰店,1, ,0,//item.jd.com/100011316106.html,0,0,R7, ,1,15,3,100
惠普,畅游人14,3399,3000,300,8G,256G, ,惠普授权旗舰店,0,2G,0,//item.jd.com/25613387106.html,0,1,R5,十代,0,14,1900,98
GPD,pocket2,3299,,,8G,256G, ,GPD笔记本官方旗舰店,0, ,0,//item.jd.com/35013975678.html,0,0,, ,1,7,300,95
联想,扬天V110-15/14,1999,2000,200,8G,256G, ,联想天佑专卖店,0,2G,0,//item.jd.com/31155959270.html,0,1,i5, ,0,,80,100
联想,E15,6499,,,8G,1152G, ,ThinkPad北京授权专卖店,0,2G,0,//item.jd.com/14542186836.html,0,1,i5,十代,0,15.6,10,100
惠普,EliteBook735,4499,,,8G,735G, ,惠普京东自营官方旗舰店,1, ,1,//item.jd.com/100007124058.html,0,0,R5, ,0,13.3,1000,93
外星人,m15,11999,,,,,GTX1650,外星人京东自营旗舰店,1, ,0,//item.jd.com/100009767488.html,0,0,i7,九代,0,15.6,200,96
华为,6日购机前10名抢华为原装鼠标！下单即赠购机礼包！保价618,7388,7399,11,16G,512G,MX350,华为桑核专卖店,0, ,0,//item.jd.com/66470867911.html,0,0,i7,十代,1,14,100,100
戴尔,Latitude3400/3500,3099,,,8G,1024G, ,戴尔商用雷泰龙专卖店,0, ,0,//item.jd.com/49853093373.html,0,2,, ,0,15,200,99
戴尔,成就5590/5490燃5000,5299,3000,300,8G,1024G,MX250,戴尔速达专卖店,0, ,0,//item.jd.com/65956432390.html,0,1,i7,十代,0,15.6,5,100
荣耀,MagicBook15,5899,,,8G,512G,MX250,荣耀京东自营旗舰店,1, ,0,//item.jd.com/100010816648.html,0,0,i7,十代,0,15.6,600,94
华硕,飞行堡垒8,5869,2000,5,4G,512G, ,华硕电脑官方旗舰店,0,8G,0,//item.jd.com/69193745692.html,0,0,i7,十代,0,15.6,200,100
华硕,超薄本E402/Y4200/V4000,3099,,,8G,256G, ,华硕金新荣专卖店,0,8G,0,//item.jd.com/52365580306.html,0,0,R3, ,0,14,300,100
神舟,神舟战神K670C/K650D/G5420/I5-9400MX250,2999,3000,300,8G,512G,MX250,神舟天美专卖店,0,8G,0,//item.jd.com/27724392430.html,0,1,, ,0,,70,97
惠普,星14,4488,5000,600,,,MX330,惠普授权旗舰店,0, ,0,//item.jd.com/27914580583.html,0,0,i5,十代,0,13.3,4400,97
华硕,ASUS,3999,,,8G,256G, ,华硕京东自营官方旗舰店,1,2G,0,//item.jd.com/100006842477.html,0,1,i5,六代,0,15.6,700,92
联想,E15,5999,,,8G,256G, ,ThinkPad京东自营旗舰店,1,2G,0,//item.jd.com/100010373884.html,0,1,i5, ,0,15.6,1200,93
联想,E15,6947,,,16G,512G, ,ThinkPad上海授权专卖店,0,2G,0,//item.jd.com/63837492993.html,0,1,i7,十代,0,15.6,300,97
联想,拯救者Y7000,7299,,,16G,, ,联想京东自营官方旗舰店,1, ,0,//item.jd.com/60380476105.html,0,0,R7,十代,0,15.6,500,99
机械革命,机械革命S1,3179,3000,300,8G,512G,MX350,机械革命授权专卖店,0,2G,0,//item.jd.com/35303684700.html,0,0,i5,十代,0,14,800,97
华硕,顽石6,3099,3000,200,4G,256G, ,华硕汉腾专卖店,0,4G,0,//item.jd.com/11563730945.html,0,1,i5, ,0,15.6,40,87
联想,拯救者Y7000,4649,5000,600,8G,512G,GTX1650,联想汇汉授权专卖店,0,4G,0,//item.jd.com/29731043190.html,0,1,i5,十代,0,,2900,89
神舟,战神ZX6/TX6/ZX7/TX7,5319,100,20,,,GTX1650,神舟电脑旗舰店,0, ,0,//item.jd.com/62880829134.html,0,0,i5, ,0,,700,96
华硕,飞行堡垒6代14.0,1179,999,30,4G,,GTX1050,企晨二手电脑专营店,0,2G,0,//item.jd.com/26615808674.html,1,1,i5, ,0,15.6,10,100
华硕,G17,20999,,,,32G, ,华硕京东自营官方旗舰店,1, ,0,//item.jd.com/100007048553.html,0,0,i7, ,0,17,2,100
联想,领券满1999减100,3338,2999,200,16G,1024G, ,扬健二手商品专营店,0,2G,0,//item.jd.com/29510670326.html,1,1,, ,0,,1200,98
宏碁,宏基墨舞B311,2599,1000,100,8G,256G,MX250,宏碁宏广世纪专卖店,0, ,0,//item.jd.com/69296433756.html,0,0,,十代,1,11.6,0,100
荣耀,MagicBookPro,4299,,,16G,512G, ,荣耀京东自营旗舰店,1, ,0,//item.jd.com/100010840492.html,0,0,R5, ,0,16.1,900,91
微星,GP65,6999,,,8G,512G,GTX1660,微星游戏本京东自营官方旗舰店,1, ,0,//item.jd.com/100010205232.html,0,0,i7, ,0,15.6,500,90
机械师,机械师F117-V,5779,3000,200,8G,512G,GTX1650,机械师京东自营官方旗舰店,1,4G,0,//item.jd.com/67836424584.html,0,1,i7,十代,0,15.6,60,100
华硕,VivoBook15,3099,3000,300,8G,512G,MX330,华硕恩荣专卖店,0,2G,0,//item.jd.com/60126656831.html,0,1,i5,十代,0,15.6,1000,97
戴尔,灵越5000,2799,3000,300,,, ,戴尔启予专卖店,0,2G,0,//item.jd.com/56753201061.html,0,1,i3,十代,0,14,200,98
联想,小新Air14,3799,2980,300,8G,512G,MX350,联想华东授权专卖店,0,8G,0,//item.jd.com/66046332925.html,0,0,i5,十代,0,14,500,92
联想,小新15,4099,2980,300,8G,512G,MX350,联想昌盛授权专卖店,0,8G,0,//item.jd.com/66990247112.html,0,0,i5,十代,0,15.6,100,97
神舟,神舟战神Z7/Z7M十代i5/i7GTX1650/1660Ti独显IPS,4599,4900,600,8G,512G,GTX1650,神舟游戏本专卖店,0, ,0,//item.jd.com/32114127148.html,0,1,i5,十代,0,,800,94
苹果,MacBookAir,5188,,,8G,128G, ,Apple无限专卖店,0, ,0,//item.jd.com/63108189971.html,0,0,i5, ,0,13.3,10,100
联想,X390,6399,2000,100,8G,256G, ,ThinkPad京东自营旗舰店,1,4G,0,//item.jd.com/100005322586.html,0,0,i5, ,0,13.3,2700,91
联想,E14,7799,,,16G,5T, ,ThinkPad华中授权专卖店,0,2G,0,//item.jd.com/66480361390.html,0,1,i7,十代,0,14,50,76
惠普,光影精灵5plus,4499,5000,600,4G,512G, ,惠普华辉专卖店,0,8G,0,//item.jd.com/44086489049.html,0,1,i5, ,0,15.6,1600,98
惠普,暗影精灵6,8199,,,16G,512G,GTX1650,惠普京东自营官方旗舰店,1,4G,0,//item.jd.com/100013054360.html,0,1,i7, ,0,15.6,300,98
麦,小麦5,2099,2000,200,8G,256G, ,麦本本旗舰店,0,8G,0,//item.jd.com/10577282925.html,0,1,, ,0,15.6,300,99
联想,RX550,4799,,,8G,512G, ,ThinkPad福建授权专卖店,0,2G,0,//item.jd.com/53959426593.html,0,1,i5, ,0,,50,100
联想,标配R5-4600U/8G/256G,3449,,,8G,256G, ,联想授权旗舰店,0, ,0,//item.jd.com/25545004364.html,0,0,R5,一代,0,14,400,96
中柏,EZbook,1983,20,4,8G,256G, ,中柏平板京东自营旗舰店,1, ,0,//item.jd.com/100005715053.html,0,0,, ,0,14,200,88
华为,MateBookX,8988,,,16G,512G, ,华为兴汇聚专卖店,0, ,0,//item.jd.com/56363222100.html,0,1,i5,十代,1,,600,98
联想,小新Air14,3899,3000,300,8G,512G,MX350,联想众信授权专卖店,0, ,0,//item.jd.com/65688181695.html,0,1,i7,十代,0,14,500,97
拯救,Y7000P,8399,3000,300,6G,, ,联想众信授权专卖店,0, ,0,//item.jd.com/69072242239.html,0,1,i7,十代,0,15.6,100,96
微软,Surface,11958,,,16G,256G, ,微软京东自营官方旗舰店,1, ,0,//item.jd.com/100009972396.html,0,0,R5, ,1,15,90,100
戴尔,全新XPS13-9300,14999,,,8G,512G, ,戴尔京东自营官方旗舰店,1, ,0,//item.jd.com/100011316466.html,0,0,i7,十代,0,13.4,7,50
戴尔,XPS13-7390,14999,,,16G,512G, ,戴尔京东自营官方旗舰店,1, ,0,//item.jd.com/100006809447.html,0,0,i7, ,0,13.3,10,100
联想,X250X220,493,799,30,4G,, ,蓝鸿二手商品专营店,0,2G,0,//item.jd.com/44278824868.html,1,0,i5,三代,0,12.5,200,95
华为,MagicBook201,5068,1000,30,8G,512G, ,金博盛笔记本专营店,0, ,0,//item.jd.com/27397632830.html,0,1,R5, ,0,14,20,100
联想,T495,5799,,,16G,512G, ,ThinkPad京东自营旗舰店,1, ,1,//item.jd.com/100010259526.html,0,0,R5, ,0,14,1000,92
华硕,VivoBook15,6199,,,8G,512G, ,华硕电脑京东自营官方旗舰店,1,2G,0,//item.jd.com/68158434974.html,0,1,i7,十代,0,15.6,60,95
笔记本电脑,热卖i5-1035G1/8G/512G,4049,2020,200,8G,512G,MX350,联想有点授权专卖店,0,2G,0,//item.jd.com/65698197477.html,0,1,i5,十代,0,,300,89
华为,MagicBook14,3419,1000,20,8G,256G, ,荣耀方和专卖店,0,8G,0,//item.jd.com/63639370653.html,0,0,R5, ,0,,60,100
雷蛇,灵刃13,9699,,,16G,256G, ,雷蛇电脑京东自营旗舰店,1, ,0,//item.jd.com/100009230442.html,0,0,i7,十代,0,13.3,100,89
麦,金麦6,1999,2000,200,4G,256G, ,麦本本旗舰店,0, ,0,//item.jd.com/42216925064.html,0,0,, ,0,13.3,90,95
Apple,MacBookPro,11099,,,8G,512G, ,Apple产品京东自营旗舰店,1,4G,0,//item.jd.com/100007136957.html,0,0,i5,八代,1,,300,90
机械师,机械师F117-V,8799,,,16G,256G, ,机械师京东自营官方旗舰店,1, ,0,//item.jd.com/67280043364.html,0,1,i7,十代,0,15.6,50,100
戴尔,灵越5493/5593燃5000,3299,3000,300,8G,512G, ,戴尔佳富惠呈专卖店,0, ,0,//item.jd.com/55286544725.html,0,0,i5,十代,0,,800,96
联想,E15,6499,,,16G,512G, ,ThinkPad京东自营旗舰店,1,2G,0,//item.jd.com/100012205574.html,0,1,i5, ,0,15.6,70,100
得峰,酷睿I7超轻簿IPS,2759,100,10,8G,128G, ,得峰旗舰店,0, ,0,//item.jd.com/67335254624.html,0,0,i7, ,0,15.6,10,100
华为,MateBook13,5988,,,16G,512G, ,华为航智专卖店,0, ,0,//item.jd.com/65402277409.html,0,1,i5, ,1,13,30,94
小米,MI,6489,,,8G,1024G,GTX15,小米京东自营旗舰店,1,4G,0,//item.jd.com/100005242023.html,0,1,i5, ,0,15.6,400,94
联想,拯救者R7000,3699,4000,400,8G,256G,GTX1650,联想卓电授权专卖店,0,4G,0,//item.jd.com/45645077553.html,0,1,R5, ,0,15.6,200,97
联想,拯救者R7000,6099,,,8G,256G,GTX1650,联想斯泰授权专卖店,0,4G,0,//item.jd.com/46412107441.html,0,1,R7, ,0,,30,100
惠普,星15青春版,2899,,,8G,, ,惠普鑫强利达专卖店,0,8G,0,//item.jd.com/33532301393.html,0,0,, ,0,15.6,80,100
海尔,活动期间下单即享30,1919,618,20,8G,128G, ,海尔电脑旗舰店,0, ,0,//item.jd.com/68005035430.html,0,0,, ,0,14,200,98
惠普,战66,6999,,,16G,512G,MX250,惠普京东自营官方旗舰店,1,2G,1,//item.jd.com/100005217577.html,0,0,i7,三代,0,15.6,4000,95
联想,X390,7199,2000,100,8G,512G, ,ThinkPad京东自营旗舰店,1,4G,0,//item.jd.com/100005550829.html,0,0,i5, ,0,13.3,2500,92
联想,E490,4799,,,8G,1152G, ,ThinkPad京东自营旗舰店,1,2G,0,//item.jd.com/100006207675.html,0,1,i5, ,0,14,1100,90
雷蛇,灵刃15,10599,,,16G,256G,GTX1660,雷蛇电脑京东自营旗舰店,1, ,1,//item.jd.com/100008492950.html,0,0,i7, ,0,15.6,1500,93
现代,,1499,1000,100,8G,128G, ,现代电脑旗舰店,0, ,0,//item.jd.com/39984200898.html,0,0,,七代,0,14,90,93
华硕,VivoBook14,6399,,,8G,32G, ,华硕电脑京东自营官方旗舰店,1, ,0,//item.jd.com/68204566250.html,0,1,i7, ,0,14,100,92
华硕,VivoBook14,5699,,,8G,32G, ,华硕电脑京东自营官方旗舰店,1, ,0,//item.jd.com/68204566248.html,0,1,i5, ,0,14,40,100
惠普,星14青春版,1869,2000,300,8G,256G, ,惠普华辉专卖店,0, ,0,//item.jd.com/28514881067.html,0,2,R3, ,0,14,100,95
联想,「刘海屏2020,5599,,,8G,512G,MX350,联想电脑授权专卖店,0,2G,0,//item.jd.com/46387030030.html,0,1,i7, ,0,14,300,91
神舟,神舟战神Z7/Z7M/9/10代i5/i7GTX1650/1660Ti,4388,4900,600,8G,,GTX1650,神舟海神专卖店,0, ,0,//item.jd.com/43618282639.html,0,0,i7, ,0,,1100,98
神舟,神舟战神ZX6-CT5A2/DA,2749,3000,300,8G,256G,GTX1050,神舟大本航专卖店,0, ,0,//item.jd.com/29182980236.html,0,1,i5,九代,0,6,400,97
华为,MagicBook14,3719,1000,20,8G,512G, ,荣耀方和专卖店,0,8G,0,//item.jd.com/64160645302.html,0,0,R5, ,0,,100,91
